"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_19","left lever","no reaction",119,"C","both paws",4.77912349311153,3,"both",1
"squirrel_6","left lever","no reaction",366,"C","both paws",5.90263333340137,1,"both",0
"squirrel_6","left lever","no reaction",367,"C","both paws",5.90536184805457,1,"both",0
"squirrel_6","left lever","no reaction",368,"C","both paws",5.90808293816893,0,"both",0
"squirrel_6","left lever","no reaction",369,"C","both paws",5.91079664404053,1,"both",0
"squirrel_6","left lever","no reaction",370,"C","right paw",5.91350300563827,1,"contra",0
"squirrel_6","left lever","no reaction",371,"C","both paws",5.91620206260743,1,"both",0
"squirrel_6","left lever","no reaction",372,"C","both paws",5.91889385427315,1,"both",0
"squirrel_6","left lever","no reaction",373,"C","both paws",5.92157841964382,1,"both",0
"squirrel_6","left lever","no reaction",374,"C","both paws",5.92425579741453,2,"both",0
"squirrel_6","left lever","no reaction",375,"C","both paws",5.92692602597041,0,"both",0
"squirrel_6","left lever","no reaction",376,"C","both paws",5.92958914338989,1,"both",0
"squirrel_6","left lever","no reaction",377,"C","left paw",5.93224518744801,1,"ipsi",0
"squirrel_6","left lever","no reaction",378,"C","both paws",5.93489419561959,1,"both",0
"squirrel_6","left lever","no reaction",379,"C","both paws",5.93753620508243,1,"both",0
"squirrel_6","left lever","no reaction",380,"C","both paws",5.94017125272043,1,"both",0
"squirrel_6","left lever","no reaction",381,"C","both paws",5.9427993751267,1,"both",1
"squirrel_6","left lever","no reaction",382,"C","both paws",5.94542060860658,2,"both",0
"squirrel_6","left lever","no reaction",383,"C","both paws",5.94803498918065,1,"both",0
"squirrel_6","left lever","no reaction",384,"C","both paws",5.95064255258773,2,"both",0
"squirrel_6","left lever","no reaction",385,"C","both paws",5.95324333428778,0,"both",0
"squirrel_6","left lever","no reaction",386,"C","both paws",5.95583736946483,1,"both",0
"squirrel_6","left lever","no reaction",387,"C","both paws",5.95842469302978,1,"both",0
"squirrel_6","left lever","no reaction",388,"C","both paws",5.96100533962327,1,"both",0
"squirrel_6","left lever","no reaction",389,"C","both paws",5.96357934361845,1,"both",0
"squirrel_6","left lever","no reaction",390,"C","both paws",5.96614673912369,1,"both",0
"squirrel_6","left lever","no reaction",391,"C","both paws",5.96870755998537,1,"both",0
"squirrel_6","left lever","no reaction",392,"C","both paws",5.97126183979046,1,"both",0
"squirrel_6","left lever","no reaction",393,"C","both paws",5.97380961186926,1,"both",0
"squirrel_6","left lever","no reaction",394,"C","both paws",5.97635090929793,2,"both",0
"squirrel_6","left lever","no reaction",395,"C","both paws",5.97888576490112,2,"both",0
"squirrel_6","left lever","no reaction",396,"C","both paws",5.98141421125448,1,"both",0
"squirrel_6","left lever","no reaction",397,"C","right paw",5.98393628068719,1,"contra",0
"squirrel_6","left lever","no reaction",398,"C","both paws",5.98645200528444,1,"both",0
"squirrel_6","left lever","no reaction",399,"C","both paws",5.98896141688986,1,"both",0
"squirrel_6","left lever","no reaction",400,"C","left paw",5.99146454710798,1,"ipsi",0
"squirrel_6","left lever","no reaction",401,"C","left paw",5.99396142730657,1,"ipsi",0
"squirrel_6","left lever","no reaction",402,"C","left paw",5.99645208861902,1,"ipsi",0
"squirrel_6","left lever","no reaction",403,"C","both paws",5.99893656194668,1,"both",0
