"Subject","cumulative_visits","solves_per_visit","latency_to_first_solve","consumption","total_time_present","age","sex","con_pres","log_cumulative_visits"
"squirrel_21",11,2,28.867,1,29.4329999999999,"A","M",0,2.39789527279837
"squirrel_21",12,0,NA,0,4.66699999999992,"A","M",0,2.484906649788
"squirrel_21",13,3,3,1,3.89999999999998,"A","M",0,2.56494935746154
"squirrel_21",14,2,14.433,1,15.1669999999999,"A","M",0,2.63905732961526
"squirrel_21",15,2,9.07299999999998,1,9.93999999999994,"A","M",0,2.70805020110221
"squirrel_21",16,2,7.34000000000003,1,49.873,"A","M",0,2.77258872223978
"squirrel_29",1,0,NA,0,27.7,"A","M",0,0
"squirrel_29",2,0,NA,0,18.066,"A","M",0,0.693147180559945
"squirrel_29",3,0,NA,0,2.09999999999997,"A","M",0,1.09861228866811
"squirrel_29",4,0,NA,1,26.1,"A","M",0,1.38629436111989
"squirrel_29",5,0,NA,1,33.766,"A","M",0,1.6094379124341
"squirrel_29",6,0,NA,0,6.06599999999992,"A","M",0,1.79175946922805
